epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr
1,3.0505753278030503,5.931321540062435,49.83493638038635,10.511750936508179,6.775983095169067,67.1226704120636,342,285
2,13.495673891713494,14.630593132154006,49.191596269607544,9.750012636184692,6.634735584259033,65.57634449005127,1513,703
3,27.303541164927303,21.789802289281997,48.28078103065491,9.585808038711548,6.672934293746948,64.5395233631134,3061,1047
4,40.165908482740164,37.27367325702394,48.75444507598877,9.790345668792725,6.753025054931641,65.29781579971313,4503,1791
5,51.08375702435109,38.210197710718,48.87922787666321,9.715868473052979,6.6353044509887695,65.23040080070496,5727,1836
6,60.64579430916065,46.47242455775234,48.70126962661743,9.706459283828735,6.62676215171814,65.0344910621643,6799,2233
7,78.67273213807867,70.23933402705515,48.417694091796875,9.583683967590332,6.668676137924194,64.6700541973114,8820,3375
8,84.57764695388458,72.44536940686784,49.162102937698364,10.295211791992188,6.868708610534668,66.32602334022522,9482,3481
9,86.55784497368656,73.77731529656607,48.70737147331238,10.164864301681519,6.596527814865112,65.46876358985901,9704,3545
10,88.49344393898849,74.29760665972945,49.115102767944336,9.906362771987915,6.72356915473938,65.74503469467163,9921,3570
