gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 605
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 647
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1201 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1231 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1231 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1231 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91744, 2405 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91748, 2959 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 91749, 1231 MiB
