epoch,train_acc,valid_acc,train_time,valid_time,total_time,train_corr,valid_corr,throughput
1,2.5243064847025245,5.744016649323621,51.99070119857788,15.823098182678223,67.8137993812561,283,276,215.63471431515637
2,12.282579609312283,14.110301768990634,49.62604236602783,15.060049295425415,64.68609166145325,1377,678,225.90961248351812
3,25.93881009722594,24.516129032258064,49.84239745140076,15.334871292114258,65.17726874351501,2908,1178,224.92898763409963
4,39.69315850503969,36.774193548387096,50.161866903305054,15.064992427825928,65.22685933113098,4450,1767,223.4964663817433
5,49.97770047274997,40.83246618106139,49.754807472229004,15.312310695648193,65.0671181678772,5603,1962,225.32495992990223
6,60.16412452056016,45.39021852237253,49.74434161186218,15.342499256134033,65.08684086799622,6745,2181,225.37236672012946
7,76.75497279457674,65.72320499479709,50.32814884185791,15.061866044998169,65.39001488685608,8605,3158,222.7580441161749
8,81.63410935688164,67.84599375650365,50.16619300842285,15.350892782211304,65.51708579063416,9152,3260,223.4771930594312
9,83.46267059138346,68.7200832466181,49.7051784992218,15.481736660003662,65.18691515922546,9357,3302,225.54993943288068
10,85.4071893675854,69.03225806451613,49.978108406066895,15.458579778671265,65.43668818473816,9575,3317,224.31821366490703
