gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 605
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 63062, 3189 MiB
