epoch,train_acc,valid_acc,train_time,valid_time,total_time,train_corr,valid_corr,throughput
1,2.4261885648024264,4.8699271592091575,55.959893226623535,15.471887588500977,71.43178081512451,272,234,200.33991048907583
2,11.8990277406119,16.899063475546306,51.846365213394165,14.589645385742188,66.43601059913635,1334,812,216.2350234940619
3,26.01908839532602,22.51821019771072,53.23076772689819,14.946212530136108,68.1769802570343,2917,1082,210.61127762647197
4,39.104450985639104,36.60770031217482,53.05321407318115,15.329359769821167,68.38257384300232,4384,1759,211.31613222406548
5,49.68334671304968,36.91987513007284,54.629093170166016,15.989124059677124,70.61821722984314,5570,1774,205.22032033514589
6,60.15520470966016,52.32049947970864,55.48965525627136,17.108286380767822,72.59794163703918,6744,2514,202.0376581585078
7,76.46953884577647,66.82622268470344,57.47929096221924,17.232247352600098,74.71153831481934,8573,3211,195.0441595977396
8,82.12469895638212,69.09469302809573,56.59756684303284,15.912298917770386,72.50986576080322,9207,3320,198.08272025354876
9,83.13263758808314,69.94797086368366,55.10217642784119,15.771755456924438,70.87393188476562,9320,3361,203.45838815788548
10,85.16635447328517,69.9687825182102,57.53392791748047,17.376017093658447,74.90994501113892,9548,3362,194.85893638410485
