gpu_uuid, pid, used_gpu_memory [MiB]
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 545
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 603
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74282, 3129 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 73647, 23 MiB
GPU-2022369e-2f16-0362-7dc3-ea36ded90774, 74283, 3691 MiB
