epoch,train_acc,valid_acc,train_time,batch_time,valid_time,total_time,train_corr,valid_corr,throughput
1,3.38952814200339,6.035379812695109,72.853022813797,8.383060693740845,7.238745927810669,88.47482943534851,380,290,152.50422588366422
2,13.86138613861386,17.065556711758585,75.67714309692383,8.594907760620117,6.780253887176514,91.05230474472046,1554,820,146.95729357801707
3,27.11622513602712,20.0,71.51392197608948,8.328334331512451,7.71962308883667,87.5618793964386,3040,961,155.30644952519978
4,39.93399339933993,35.608740894901146,75.96944284439087,8.260168552398682,7.6914753913879395,91.92108678817749,4477,1711,146.3889533536529
5,50.82508250825083,41.01977107180021,74.00920820236206,6.929056882858276,9.486185550689697,90.42445063591003,5698,1971,149.44987132234684
6,60.54767638926055,44.745057232049945,72.07552099227905,8.314945697784424,7.6939215660095215,88.084388256073,6788,2150,154.01107093168307
7,78.85112835607885,70.8012486992716,75.83414101600647,8.571784973144531,8.737171411514282,93.14309740066528,8840,3402,145.56175688883292
8,84.47952903398448,73.17377731529656,50.23997759819031,5.203336238861084,12.614440679550171,68.05775451660156,9471,3516,208.9044314850674
9,86.3170100793863,73.94380853277836,42.03103685379028,5.082515001296997,12.727748394012451,59.84130024909973,9677,3553,245.20066494565788
10,88.19017036838818,74.88033298647242,42.34009861946106,5.350112199783325,12.948683500289917,60.6388943195343,9887,3598,244.21608134834466
